df
""
""
""
df_bin
,73.6000\topelement$\pm$1.5572,83.7492\topelement$\pm$0.8148,6.3000\topelement$\pm$2.1679,9.2331\topelement$\pm$3.7464,0.0306\topelement$\pm$0.0181,0.0238\topelement$\pm$0.0154,0.0839\topelement$\pm$0.0400,0.0208\topelement$\pm$0.0121,0.3410\topelement$\pm$0.0948,0.0086\topelement$\pm$0.0252,0.0036\topelement$\pm$0.0109,-0.0068\topelement$\pm$0.0020
,73.6000\topelement$\pm$1.5572,83.7492\topelement$\pm$0.8148,6.3000\topelement$\pm$2.1679,9.2331\topelement$\pm$3.7464,0.0338\topelement$\pm$0.0294,0.0338\topelement$\pm$0.0100,0.1257\topelement$\pm$0.0695,0.0288\topelement$\pm$0.0247,0.3410\topelement$\pm$0.0948,0.0107\topelement$\pm$0.0140,0.0036\topelement$\pm$0.0109,-0.0068\topelement$\pm$0.0020
,83.4986\topelement$\pm$0.2480,52.5044\topelement$\pm$1.3652,3.8501\topelement$\pm$3.6916,7.3355\topelement$\pm$2.3282,0.0915\topelement$\pm$0.0081,0.0726\topelement$\pm$0.0438,0.0334\topelement$\pm$0.0272,0.0619\topelement$\pm$0.0056,0.1621\topelement$\pm$0.1075,-0.0016\topelement$\pm$0.0032,-0.0084\topelement$\pm$0.0217,-0.0160\topelement$\pm$0.0047
,67.7435\topelement$\pm$0.4163,60.1605\topelement$\pm$0.7114,7.7922\topelement$\pm$1.2757,3.9976\topelement$\pm$1.2099,0.1796\topelement$\pm$0.0370,0.1700\topelement$\pm$0.0623,0.0781\topelement$\pm$0.0345,0.1454\topelement$\pm$0.0302,0.3656\topelement$\pm$0.0235,0.0308\topelement$\pm$0.0794,0.0122\topelement$\pm$0.0319,-0.0110\topelement$\pm$0.0125
,83.8202\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0499\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0013\topelement$\pm$0.0013,0.0053\topelement$\pm$0.0048,0.5000\topelement$\pm$0.5000,0.0010\topelement$\pm$0.0010,0.0010\topelement$\pm$0.0010,-0.0379\topelement$\pm$0.0772,-0.0179\topelement$\pm$0.0365,-0.0379\topelement$\pm$0.0026
""
,73.6000\topelement$\pm$1.5572,83.7492\topelement$\pm$0.8148,6.3000\topelement$\pm$2.1679,9.2331\topelement$\pm$3.7464,0.0306\topelement$\pm$0.0181,0.0238\topelement$\pm$0.0154,0.0839\topelement$\pm$0.0400,0.0208\topelement$\pm$0.0121,0.3410\topelement$\pm$0.0948,0.0086\topelement$\pm$0.0252,0.0036\topelement$\pm$0.0109,-0.0068\topelement$\pm$0.0020
,73.6000\topelement$\pm$1.5572,83.7492\topelement$\pm$0.8148,6.3000\topelement$\pm$2.1679,9.2331\topelement$\pm$3.7464,0.0338\topelement$\pm$0.0294,0.0338\topelement$\pm$0.0100,0.1257\topelement$\pm$0.0695,0.0288\topelement$\pm$0.0247,0.3410\topelement$\pm$0.0948,0.0107\topelement$\pm$0.0140,0.0036\topelement$\pm$0.0109,-0.0068\topelement$\pm$0.0020
,83.4986\topelement$\pm$0.2480,52.5044\topelement$\pm$1.3652,3.8501\topelement$\pm$3.6916,7.3355\topelement$\pm$2.3282,0.0915\topelement$\pm$0.0081,0.0726\topelement$\pm$0.0438,0.0334\topelement$\pm$0.0272,0.0619\topelement$\pm$0.0056,0.1621\topelement$\pm$0.1075,-0.0016\topelement$\pm$0.0032,-0.0084\topelement$\pm$0.0217,-0.0160\topelement$\pm$0.0047
,67.7435\topelement$\pm$0.4163,60.1605\topelement$\pm$0.7114,7.7922\topelement$\pm$1.2757,3.9976\topelement$\pm$1.2099,0.1796\topelement$\pm$0.0370,0.1700\topelement$\pm$0.0623,0.0781\topelement$\pm$0.0345,0.1454\topelement$\pm$0.0302,0.3656\topelement$\pm$0.0235,0.0308\topelement$\pm$0.0794,0.0122\topelement$\pm$0.0319,-0.0110\topelement$\pm$0.0125
,83.8202\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0499\topelement$\pm$0.0684,0.9137\topelement$\pm$0.8341,0.0013\topelement$\pm$0.0013,0.0053\topelement$\pm$0.0048,0.5000\topelement$\pm$0.5000,0.0010\topelement$\pm$0.0010,0.0010\topelement$\pm$0.0010,-0.0379\topelement$\pm$0.0772,-0.0179\topelement$\pm$0.0365,-0.0379\topelement$\pm$0.0026
""
""
""
""
